1	1 2 3 4
1	3 5 6 4
1	3 4
1	3 5 6 7 8 4
1	3 4
1	3 4
1	5 6 3 4
1	3 5 6 4
1	5 6 3 9 10 5 6 4 7 1 2 3 8 4
1	3 7 8 4
1	3 4
1	3 5 6 4
1	3 4 1 2 3 4
1	5 6 9 3 7 8 10 5 4 6
1	3 4 1 2 3 4
1	3 5 6 4
1	3 4 1 2 3 4 1 2 3 4
1	1 2 3 4
1	3 4
1	3 4
2	3 7 4 1 2 3 8 4
2	3 7 8 4
2	1 2 3 7 8 4
2	3 7 8 4
2	3 7 8 4
2	1 2 3 7 8 11 12 7 8 4
2	3 7 8 4
2	3 7 8 4
2	3 7 8 4 13 14
2	3 7 8 4
2	3 7 8 4
2	1 2 3 7 8 4
2	3 7 8 4
2	13 14 3 7 4 1 2 3 4 1 2 3 8 4
2	3 7 8 4
2	3 7 8 5 4 6
2	3 7 8 4
2	1 2 3 7 4 1 2 3 8 11 4 12 7 8
2	3 7 8 4
2	13 14 3 7 8 4 5 6
3	3 7 8 4 1 2 3 4
3	3 7 8 4
3	3 7 8 4 1 2 3 4 5 6
3	9 3 4 1 2 3 10 5 6 4
3	3 7 4 1 2 8 3 4 1 2 3 4
3	3 7 8 4 1 2 3 4
3	3 7 8 4 1 2 3 4
3	3 7 8 4 5 6
3	9 10 5 6 3 7 8 4 1 2 3 4
3	3 7 8 4
3	3 4 1 2 7 3 8 4
3	3 4 1 2 7 8 3 4 5 6
3	3 7 8 4
3	3 7 8 4
3	3 4
3	3 7 8 4 1 2 3 4 1 2 3 4
3	3 5 6 4
3	3 4 7 1 2 3 8 4 1 2 3 4
3	3 7 8 4 1 2 3 4
3	3 7 8 4 5 6
4	3 4
4	3 4
4	3 4 5 6 9 10 5 6
4	3 4
4	3 4
4	1 2 3 5 6 4
4	3 4
4	3 4
4	3 4
4	3 4
4	3 4 1 2 7 8 3 4
4	3 4
4	3 4
4	5 3 6 9 10 5 6 9 10 5 4 6
4	13 14 15 3 16 13 14 4
4	3 5 6 9 10 5 6 9 10 5 6 9 10 5 6 4
4	1 2 3 4
4	3 13 14 5 15 6 16 9 10 7 8 13 14 5 6 4
4	3 5 6 4 1 2 3 4
4	5 3 6 4
5	13 14 3 7 8 4
5	3 7 8 4
5	3 4 7 1 2 3 4 1 2 3 8 4
5	1 2 3 7 8 4
5	3 7 8 4 5 6
5	3 7 8 4
5	3 7 8 4
5	3 7 8 4 5 6
5	3 7 8 4
5	3 7 8 4
5	3 7 8 4 5 6
5	3 7 8 4
5	3 7 8 4
5	1 2 3 7 8 4
5	13 14 3 7 8 4
5	3 7 5 6 8 4
5	3 7 8 4
5	3 7 8 4
5	3 7 8 4
5	3 7 4 1 2 3 4 1 2 3 8 4
